order_line_id,despatch_date,segment,channel,customer_type,qty,line_value_gbp
OL-26-2612839,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,3,840
OL-26-2613070,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,11,466
OL-26-2613112,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,3,881
OL-26-2613133,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,9,880
OL-26-2613238,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,20,766
OL-26-2613518,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,17,669
OL-26-2613525,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,33,556
OL-26-2613574,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,8,687
OL-26-2613756,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,31,867
OL-26-2613854,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,4,778
OL-26-2613896,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,36,543
OL-26-2614085,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,39,940
OL-26-2614190,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,47,565
OL-26-2614624,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,20,704
OL-26-2614638,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,36,512
OL-26-2614659,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,42,891
OL-26-2614687,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,9,753
OL-26-2614757,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,36,825
OL-26-2614897,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,41,543
OL-26-2615002,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,33,725
OL-26-2615198,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,42,857
OL-26-2615226,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,39,929
OL-26-2615345,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,37,509
OL-26-2615618,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,28,612
OL-26-2615653,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,19,639
OL-26-2615947,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,28,608
OL-26-2615954,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,3,854
OL-26-2616073,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,2,548
OL-26-2616192,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,29,454
OL-26-2616206,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,16,940
OL-26-2616318,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,45,635
OL-26-2616416,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,9,494
OL-26-2616507,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,47,967
OL-26-2616766,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,23,566
OL-26-2616983,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,10,823
OL-26-2616990,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,31,778
OL-26-2617004,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,30,553
OL-26-2617018,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,21,442
OL-26-2617025,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,10,859
OL-26-2617032,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,9,437
OL-26-2617424,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,44,706
OL-26-2617466,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,24,971
OL-26-2617571,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,47,749
OL-26-2617886,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,40,719
OL-26-2618131,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,31,674
OL-26-2618215,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,15,788
OL-26-2618663,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,23,410
OL-26-2619034,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,47,524
OL-26-2619181,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,6,907
OL-26-2619412,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,37,817
OL-26-2619433,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,12,512
OL-26-2619524,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,29,592
OL-26-2619727,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,22,842
OL-26-2619769,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,12,605
OL-26-2620021,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,36,929
OL-26-2620077,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,33,845
OL-26-2620266,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,14,896
OL-26-2620399,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,1,419
OL-26-2620651,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,34,627
OL-26-2620833,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,30,722
OL-26-2620945,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,6,626
OL-26-2621428,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,21,950
OL-26-2621477,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,28,572
OL-26-2621862,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,15,670
OL-26-2621946,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,6,834
OL-26-2622191,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,19,415
OL-26-2622324,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,28,930
OL-26-2622534,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,13,568
OL-26-2622583,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,2,744
OL-26-2622590,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,32,813
OL-26-2623094,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,12,696
OL-26-2623178,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,16,638
OL-26-2623220,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,24,952
OL-26-2623353,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,31,637
OL-26-2623409,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,23,674
OL-26-2624452,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,22,855
OL-26-2624550,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,44,687
OL-26-2624620,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,27,540
OL-26-2624788,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,3,636
OL-26-2624949,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,10,455
OL-26-2624963,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,18,833
OL-26-2625180,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,7,778
OL-26-2625271,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,47,889
OL-26-2625383,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,3,444
OL-26-2625453,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,38,877
OL-26-2625593,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,26,423
OL-26-2625747,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,34,419
OL-26-2625768,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,34,419
OL-26-2625943,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,38,583
OL-26-2626118,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,9,803
OL-26-2626293,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,30,497
OL-26-2626314,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,5,763
OL-26-2626349,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,21,761
OL-26-2626482,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,17,771
OL-26-2626517,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,10,904
OL-26-2626615,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,32,851
OL-26-2626748,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,44,894
OL-26-2626804,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,32,814
OL-26-2626846,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,37,798
OL-26-2626979,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,12,648
OL-26-2627378,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,17,856
OL-26-2627427,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,34,675
OL-26-2627455,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,37,676
OL-26-2627819,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,34,667
OL-26-2628701,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,40,513
OL-26-2628820,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,25,640
OL-26-2628869,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,29,902
OL-26-2629282,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,32,747
OL-26-2629590,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,4,776
OL-26-2629814,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,8,444
OL-26-2629877,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,30,737
OL-26-2629891,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,38,709
OL-26-2630227,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,4,462
OL-26-2630619,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,43,913
OL-26-2630654,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,37,422
OL-26-2630675,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,9,470
OL-26-2630787,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,14,665
OL-26-2630815,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,44,524
OL-26-2631102,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,22,686
OL-26-2631144,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,24,650
OL-26-2631228,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,42,850
OL-26-2631256,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,18,469
OL-26-2631291,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,35,857
OL-26-2631319,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,19,931
OL-26-2631340,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,11,467
OL-26-2631501,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,47,489
OL-26-2631564,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,2,598
OL-26-2631648,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,15,749
OL-26-2631879,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,10,463
OL-26-2631984,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,45,945
OL-26-2632110,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,17,850
OL-26-2632215,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,26,437
OL-26-2632250,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,46,953
OL-26-2632313,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,7,677
OL-26-2632355,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,17,773
OL-26-2632390,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,34,565
OL-26-2632628,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,28,536
OL-26-2633412,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,9,837
OL-26-2633419,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,29,803
OL-26-2633636,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,28,712
OL-26-2633664,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,43,970
OL-26-2633846,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,36,888
OL-26-2633923,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,11,912
OL-26-2633937,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,2,786
OL-26-2634014,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,23,842
OL-26-2634126,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,34,484
OL-26-2634252,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,23,652
OL-26-2634280,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,9,730
OL-26-2634294,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,40,541
OL-26-2634301,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,39,646
OL-26-2634413,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,21,427
OL-26-2634469,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,7,820
OL-26-2634665,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,6,735
OL-26-2634910,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,26,682
OL-26-2634938,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,18,861
OL-26-2634945,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,19,815
OL-26-2634959,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,24,603
OL-26-2635050,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,47,669
OL-26-2635218,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,30,590
OL-26-2635442,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,7,474
OL-26-2635617,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,34,907
OL-26-2635624,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,24,537
OL-26-2635757,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,38,813
OL-26-2635960,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,30,460
OL-26-2636156,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,48,930
OL-26-2636338,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,11,913
OL-26-2636506,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,11,576
OL-26-2636751,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,37,909
OL-26-2637010,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,10,446
OL-26-2637318,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,15,570
OL-26-2637647,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,22,854
OL-26-2637766,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,35,672
OL-26-2638067,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,28,724
OL-26-2638431,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,31,877
OL-26-2638459,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,29,847
OL-26-2638550,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,41,786
OL-26-2638564,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,34,845
OL-26-2638585,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,28,828
OL-26-2638718,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,46,583
OL-26-2638830,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,22,651
OL-26-2638977,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,44,532
OL-26-2639082,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,18,543
OL-26-2639320,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,9,438
OL-26-2639348,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,8,579
OL-26-2639390,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,3,538
OL-26-2639474,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,40,512
OL-26-2639516,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,28,625
OL-26-2639565,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,38,555
OL-26-2639628,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,28,849
OL-26-2639670,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,31,773
OL-26-2639768,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,25,417
OL-26-2640020,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,31,432
OL-26-2640111,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,41,566
OL-26-2640167,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,5,729
OL-26-2640363,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,18,674
OL-26-2640391,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,26,958
OL-26-2640461,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,20,926
OL-26-2640482,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,45,501
OL-26-2640797,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,46,563
OL-26-2640930,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,32,647
OL-26-2641126,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,6,457
OL-26-2641434,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,33,699
OL-26-2641462,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,26,544
OL-26-2641560,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,23,721
OL-26-2641567,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,33,822
OL-26-2641588,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,5,435
OL-26-2641630,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,23,546
OL-26-2641644,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,48,441
OL-26-2642036,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,25,460
OL-26-2642113,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,47,946
OL-26-2642120,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,33,458
OL-26-2642141,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,19,700
OL-26-2642533,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,26,524
OL-26-2642589,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,3,943
OL-26-2642617,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,9,473
OL-26-2642715,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,5,785
OL-26-2642820,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,40,822
OL-26-2643037,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,11,497
OL-26-2643093,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,10,966
OL-26-2643121,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,9,819
OL-26-2643667,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,43,585
OL-26-2643709,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,22,580
OL-26-2644066,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,30,697
OL-26-2644388,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,24,707
OL-26-2644409,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,44,855
OL-26-2644458,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,27,439
OL-26-2644514,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,19,596
OL-26-2644521,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,25,909
OL-26-2644612,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,18,533
OL-26-2644745,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,34,791
OL-26-2644808,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,1,868
